,出生数,（再掲）,死亡数,（再掲）,,自　然,死産数,,,周産期死亡数,,,婚姻件数,離婚件数,出生率,出生子,死亡率,乳　児,新生児,自　然,死産率,自　然,人　工,周産期,22週以後,早期新生,婚姻率,離婚率,　　　,2500g未満,　　　,乳児死亡数,新生児,増減数,総　数,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　,　　　,の性比,　　　,死亡率,死亡率,増減率,　　　,死産率,死産率,死亡率,の死産率,児死亡率,　　　,　　　,,,,,死亡数,,,,,,の死産数,死亡数,,,(人口千対),女100対男,(人口千対),(出生千対),(出生千対),(人口千対),(出産千対),(出産千対),(出産千対),(出産千対),(出産千対),(出生千対),(人口千対),(人口千対)
２５滋　賀,13338,1317,11884,28,16,1454,272,142,130,58,44,14,7567,2341,9.6,106.0,8.5,2.1,1.2,1.0,20.0,10.4,9.6,4.3,3.3,1.0,5.4,1.68
２６京　都,20707,2024,24733,40,16,-4026,476,227,249,83,71,12,12900,4713,8.0,103.6,9.5,1.9,0.8,-1.6,22.5,10.7,11.8,4.0,3.4,0.6,5.0,1.82
２７大　阪,73919,7198,78952,170,85,-5033,1784,775,1009,305,243,62,48581,19407,8.5,103.3,9.1,2.3,1.1,-0.6,23.6,10.2,13.3,4.1,3.3,0.8,5.6,2.23
２８兵　庫,47351,4538,52259,96,41,-4908,1028,525,503,169,139,30,28283,10308,8.6,104.5,9.5,2.0,0.9,-0.9,21.2,10.9,10.4,3.6,2.9,0.6,5.1,1.87
２９奈　良,10400,953,13267,14,9,-2867,293,152,141,53,47,6,6260,2423,7.5,103.9,9.6,1.3,0.9,-2.1,27.4,14.2,13.2,5.1,4.5,0.6,4.5,1.75
３０和歌山,7460,740,12310,23,15,-4850,162,71,91,26,17,9,4601,1890,7.5,101.1,12.4,3.1,2.0,-4.9,21.3,9.3,11.9,3.5,2.3,1.2,4.6,1.91
３１鳥　取,4931,489,6958,10,5,-2027,116,51,65,14,11,3,2697,1041,8.5,100.9,12.0,2.0,1.0,-3.5,23.0,10.1,12.9,2.8,2.2,0.6,4.6,1.79
３２島　根,5582,602,9412,11,5,-3830,136,51,85,13,9,4,3058,1043,7.9,101.8,13.3,2.0,0.9,-5.4,23.8,8.9,14.9,2.3,1.6,0.7,4.3,1.47
３３岡　山,16635,1462,20407,39,17,-3772,404,176,228,58,46,12,9665,3493,8.7,107.3,10.6,2.3,1.0,-2.0,23.7,10.3,13.4,3.5,2.8,0.7,5.0,1.82
３４広　島,25469,2543,28608,53,20,-3139,605,277,328,95,80,15,14849,5133,9.0,104.1,10.1,2.1,0.8,-1.1,23.2,10.6,12.6,3.7,3.1,0.6,5.3,1.82
３５山　口,11222,1091,17884,24,13,-6662,263,125,138,49,37,12,6549,2414,7.8,105.0,12.5,2.1,1.2,-4.7,22.9,10.9,12.0,4.4,3.3,1.1,4.6,1.69
３６徳　島,5914,526,9435,30,15,-3521,128,56,72,27,15,12,3380,1367,7.6,107.3,12.2,5.1,2.5,-4.5,21.2,9.3,11.9,4.6,2.5,2.0,4.4,1.76
３７香　川,8311,703,11316,23,12,-3005,160,75,85,26,16,10,4896,1765,8.4,109.4,11.5,2.8,1.4,-3.1,18.9,8.9,10.0,3.1,1.9,1.2,5.0,1.79
３８愛　媛,11329,1062,16950,13,4,-5621,340,154,186,54,50,4,6445,2666,8.0,105.4,12.0,1.1,0.4,-4.0,29.1,13.2,15.9,4.7,4.4,0.4,4.6,1.88
３９高　知,5244,550,9884,18,9,-4640,175,78,97,30,23,7,3099,1406,6.9,102.5,13.1,3.4,1.7,-6.1,32.3,14.4,17.9,5.7,4.4,1.3,4.1,1.86
４０福　岡,46220,4541,48112,116,56,-1892,1314,499,815,202,157,45,28008,10653,9.2,105.0,9.5,2.5,1.2,-0.4,27.6,10.5,17.1,4.4,3.4,1.0,5.6,2.11
４１佐　賀,7613,693,9472,12,5,-1859,189,83,106,34,29,5,4015,1516,9.0,104.5,11.2,1.6,0.7,-2.2,24.2,10.6,13.6,4.4,3.8,0.7,4.8,1.80
４２長　崎,11727,1012,16645,32,21,-4918,332,133,199,56,40,16,6337,2435,8.3,107.4,11.8,2.7,1.8,-3.5,27.5,11.0,16.5,4.8,3.4,1.4,4.5,1.73
４３熊　本,16118,1479,20008,31,13,-3890,471,179,292,50,42,8,8730,3291,8.9,109.9,11.1,1.9,0.8,-2.2,28.4,10.8,17.6,3.1,2.6,0.5,4.8,1.82
４４大　分,9988,885,13806,32,16,-3818,301,111,190,43,32,11,5667,2110,8.4,104.2,11.7,3.2,1.6,-3.2,29.3,10.8,18.5,4.3,3.2,1.1,4.8,1.78
４５宮　崎,10152,1064,12980,30,16,-2828,335,123,212,44,35,9,5512,2354,9.0,105.0,11.5,3.0,1.6,-2.5,31.9,11.7,20.2,4.3,3.4,0.9,4.9,2.09
４６鹿児島,15244,1604,21047,36,15,-5803,449,173,276,69,56,13,8125,3148,9.0,102.7,12.4,2.4,1.0,-3.4,28.6,11.0,17.6,4.5,3.7,0.9,4.8,1.86
４７沖　縄,16918,1796,10686,40,21,6232,556,271,285,73,59,14,8401,3570,12.1,102.0,7.7,2.4,1.2,4.5,31.8,15.5,16.3,4.3,3.5,0.8,6.0,2.56
外　　　国,122,8,195,2,1,-73,10,5,5,3,2,1,　　　　 ・,　　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・
不　　　詳,　　　　 ・,　　　　 ・,2298,3,2,　　　　 ・ ,1,1,-,2,-,2,　　　　 ・,　　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・
５０東京区部,72995,6951,72612,158,72,383,1790,810,980,275,228,47,65198,17680,8.1,105.0,8.1,2.2,1.0,0.0,23.9,10.8,13.1,3.8,3.1,0.6,7.3,1.97
５１札　幌,14491,1392,15926,40,20,-1435,504,192,312,70,56,14,10576,4643,7.5,103.7,8.3,2.8,1.4,-0.7,33.6,12.8,20.8,4.8,3.8,1.0,5.5,2.42
５２仙　台,8851,862,8852,33,17,-1,220,95,125,37,26,11,5940,1775,8.4,103.3,8.4,3.7,1.9,-0.0,24.3,10.5,13.8,4.2,2.9,1.2,5.7,1.69
５３さいたま,10780,1070,8778,27,10,2002,223,116,107,36,30,6,6646,2153,8.8,108.6,7.1,2.5,0.9,1.6,20.3,10.5,9.7,3.3,2.8,0.6,5.4,1.75
５４千　葉,7808,750,7246,21,13,562,159,97,62,36,26,10,4981,1832,8.1,102.6,7.5,2.7,1.7,0.6,20.0,12.2,7.8,4.6,3.3,1.3,5.2,1.90
５５横　浜,30733,2971,28249,83,41,2484,680,321,359,119,92,27,20894,6697,8.3,106.5,7.7,2.7,1.3,0.7,21.6,10.2,11.4,3.9,3.0,0.9,5.7,1.81
５６川　崎,14307,1432,9686,39,21,4621,303,153,150,51,36,15,10334,2512,10.0,106.4,6.8,2.7,1.5,3.2,20.7,10.5,10.3,3.6,2.5,1.0,7.2,1.76
５７相模原,5822,590,5045,14,7,777,118,50,68,19,13,6,3727,1436,8.1,108.4,7.0,2.4,1.2,1.1,19.9,8.4,11.4,3.3,2.2,1.0,5.2,2.00
